irn	organization	code	division	department	cites	specimenTotal	currentStatus	dateFounded	taxonomicCoverage	geography	address	contact	location	collectionsSummary	incorporatedHerbaria	importantCollectors	notes	dateModified
125346	Museo Nacional de Historia Natural	MVM		Departamento de Botánica		90000	Active	1837		Uruguay and parts of Argentina, Brazil, and Paraguay.	{'physicalStreet': 'Buenos Aires 652.', 'physicalCity': 'Montevideo', 'physicalState': '', 'physicalZipCode': '', 'physicalCountry': 'Uruguay', 'postalStreet': 'Casilla de Correo 399', 'postalCity': 'Montevideo', 'postalState': '', 'postalZipCode': '11 000', 'postalCountry': 'Uruguay'}	{'phone': '[598] 2 916 09 08', 'email': 'meicavaldivia@gmail.com', 'webUrl': 'https://www.mnhn.gub.uy/innovaportal/v/3417/12/mecweb/botanica?contid=3090'}	{'lat': -34.863792, 'lon': -56.117401}	{'numAlgae': 0, 'numAlgaeDatabased': 0, 'numAlgaeImaged': 0, 'numBryos': 0, 'numBryosDatabased': 0, 'numBryosImaged': 0, 'numFungi': 0, 'numFungiDatabased': 0, 'numFungiImaged': 0, 'numPteridos': 0, 'numPteridosDatabased': 0, 'numPteridosImaged': 0, 'numSeedPl': 0, 'numSeedPlDatabased': 0, 'numSeedPlImaged': 0}	[]	['E. Gibert', 'C. Osten', 'A. Lombardo', 'B. Rosengurtt', 'D. Legrand', 'J. Arechavaleta']	Updated Mar 2014 (staff update). Exchange and loans temporarily suspended.	2022-11-23
123883	Azerbaijan National Academy of Sciences (ANAS)	BAK	Institute of Botany			600000	Active	1827		Azerbaijan; Caucasus; Iran; Turkey; Palestine; Iraq; western Europe; northern Africa; North America; South America.	{'physicalStreet': '', 'physicalCity': 'Baku', 'physicalState': '', 'physicalZipCode': '', 'physicalCountry': 'Azerbaijan', 'postalStreet': 'Badamdar highway 40', 'postalCity': 'Baku', 'postalState': '', 'postalZipCode': 'AZ1004', 'postalCountry': 'Azerbaijan'}	{'phone': '[994] 12 4970994', 'email': 'p.garakhani@mail.ru', 'webUrl': ''}	{'lat': 40.37767, 'lon': 49.89201}	{'numAlgae': 0, 'numAlgaeDatabased': 0, 'numAlgaeImaged': 0, 'numBryos': 0, 'numBryosDatabased': 0, 'numBryosImaged': 0, 'numFungi': 0, 'numFungiDatabased': 0, 'numFungiImaged': 0, 'numPteridos': 0, 'numPteridosDatabased': 0, 'numPteridosImaged': 0, 'numSeedPl': 0, 'numSeedPlDatabased': 0, 'numSeedPlImaged': 0}	[]	[]	Upated April 2017 (Institution name, specimen total, contact information updated).	2018-01-12
124879	Instituto Agronômico	BHMG				0	Inactive				{'physicalStreet': '', 'physicalCity': 'Belo Horizonte', 'physicalState': 'Minas Gerais', 'physicalZipCode': '', 'physicalCountry': 'Brazil', 'postalStreet': '', 'postalCity': 'Belo Horizonte', 'postalState': 'Minas Gerais', 'postalZipCode': '', 'postalCountry': 'Brazil'}	{'phone': '', 'email': '', 'webUrl': ''}	{'lat': -19.899624, 'lon': -43.960503}	{'numAlgae': 0, 'numAlgaeDatabased': 0, 'numAlgaeImaged': 0, 'numBryos': 0, 'numBryosDatabased': 0, 'numBryosImaged': 0, 'numFungi': 0, 'numFungiDatabased': 0, 'numFungiImaged': 0, 'numPteridos': 0, 'numPteridosDatabased': 0, 'numPteridosImaged': 0, 'numSeedPl': 0, 'numSeedPlDatabased': 0, 'numSeedPlImaged': 0}	[]	[]	Updated Apr 2005. BHMG transferred to BHMH, which has been transferred to BHCB. Contact Alexandre Salino, salino@icb.ufmg.br	2018-01-12
124983	Jardim-Museu Agrícola Tropical	LISJC	Instituto de Investigação Científica Tropical			0	Inactive				{'physicalStreet': '', 'physicalCity': 'Lisboa', 'physicalState': '', 'physicalZipCode': '', 'physicalCountry': 'Portugal', 'postalStreet': 'Largo dos Jerónimos-Belém', 'postalCity': 'Lisboa', 'postalState': '', 'postalZipCode': 'P-1400-209', 'postalCountry': 'Portugal'}	{'phone': '', 'email': '', 'webUrl': ''}	{'lat': 38.706039, 'lon': -9.206116}	{'numAlgae': 0, 'numAlgaeDatabased': 0, 'numAlgaeImaged': 0, 'numBryos': 0, 'numBryosDatabased': 0, 'numBryosImaged': 0, 'numFungi': 0, 'numFungiDatabased': 0, 'numFungiImaged': 0, 'numPteridos': 0, 'numPteridosDatabased': 0, 'numPteridosImaged': 0, 'numSeedPl': 0, 'numSeedPlDatabased': 0, 'numSeedPlImaged': 0}	[]	[]	"Updated Apr 2005. LISJC (57 000 specimens) transferred to LISC in 2002. Contact Maria Adélia Diniz, cbotn@iict.pt<br/>LISJC is part of State Ministry of Science and Technology."	2018-01-12
124561	Forest Service Region 4, USDA Forest Service Service	OGDF	Vegetation Management			0	Inactive				{'physicalStreet': '', 'physicalCity': 'Ogden', 'physicalState': 'Utah', 'physicalZipCode': '', 'physicalCountry': 'U.S.A.', 'postalStreet': '324 25th Street', 'postalCity': 'Ogden', 'postalState': 'Utah', 'postalZipCode': '84401-2310', 'postalCountry': 'U.S.A.'}	{'phone': '', 'email': '', 'webUrl': ''}	{'lat': 41.220432, 'lon': -111.967378}	{'numAlgae': 0, 'numAlgaeDatabased': 0, 'numAlgaeImaged': 0, 'numBryos': 0, 'numBryosDatabased': 0, 'numBryosImaged': 0, 'numFungi': 0, 'numFungiDatabased': 0, 'numFungiImaged': 0, 'numPteridos': 0, 'numPteridosDatabased': 0, 'numPteridosImaged': 0, 'numSeedPl': 0, 'numSeedPlDatabased': 0, 'numSeedPlImaged': 0}	[]	[]	Updated Apr 2007. OGDF (30 500 specimens) transferred to BRY in 2007. Continue to cite OGDF.	2018-01-12
126034	Springfield Science Museum	SPR		Natural Science Department		19000	Active	1918		Massachusetts, mostly Springfield area; Connecticut	{'physicalStreet': '', 'physicalCity': 'Springfield', 'physicalState': 'Massachusetts', 'physicalZipCode': '', 'physicalCountry': 'U.S.A.', 'postalStreet': '21 Edwards Street', 'postalCity': 'Springfield', 'postalState': 'Massachusetts', 'postalZipCode': '01103', 'postalCountry': 'U.S.A.'}	{'phone': '[1] 413 263 6800 ext. 321', 'email': 'dstier@springfieldmuseums.org', 'webUrl': ''}	{'lat': 42.104362, 'lon': -72.587173}	{'numAlgae': 0, 'numAlgaeDatabased': 0, 'numAlgaeImaged': 0, 'numBryos': 0, 'numBryosDatabased': 0, 'numBryosImaged': 0, 'numFungi': 0, 'numFungiDatabased': 0, 'numFungiImaged': 0, 'numPteridos': 0, 'numPteridosDatabased': 0, 'numPteridosImaged': 0, 'numSeedPl': 0, 'numSeedPlDatabased': 0, 'numSeedPlImaged': 0}	[]	['L. Andrews']	Updated Apr 2008.  Private institution, with city funding.	2018-01-12
125457	National Museum in Prague	PR		Department of Botany		2000000	Active	1818	Phanerogams and bryophytes	Worldwide with emphasis on Czech Republic, Slovakia, central Europe, Balkan Peninsula, Australia, Iraq, and Iran	{'physicalStreet': '', 'physicalCity': 'Praha', 'physicalState': '', 'physicalZipCode': '', 'physicalCountry': 'Czech Republic', 'postalStreet': 'Cirkusova 1740', 'postalCity': 'Praha 9 - Horni Pocernice', 'postalState': '', 'postalZipCode': 'CZ-190 00', 'postalCountry': 'Czech Republic'}	{'phone': '[420] 224497834', 'email': '', 'webUrl': ''}	{'lat': 50.122294, 'lon': 14.629279}	{'numAlgae': 0, 'numAlgaeDatabased': 0, 'numAlgaeImaged': 0, 'numBryos': 0, 'numBryosDatabased': 0, 'numBryosImaged': 0, 'numFungi': 0, 'numFungiDatabased': 0, 'numFungiImaged': 0, 'numPteridos': 0, 'numPteridosDatabased': 0, 'numPteridosImaged': 0, 'numSeedPl': 0, 'numSeedPlDatabased': 0, 'numSeedPlImaged': 0}	['PRB (5000 specimens)']	['L. Celakovský', 'H. Cuming', 'K. Domin', 'J. F. Drège', 'C. F. Ecklon', 'T. P. X. Haenke', 'J. M. Hildebrandt', 'P. Kitaibel', 'C. G. T. Kotschy', 'J. G. C. Lehmann', 'J. Lhotsky', 'P. M. Opiz', 'F. Petrak', 'Z. Pilous', 'J. Podpera', 'J. E. Pohl', 'K. B. Presl', 'J. S. Presl', 'J. S. Pringle', 'V. Schiffner', 'F. R. R. Schlechter', 'F. W. Sieber', 'P. E. E. Sintenis', 'K. P. J. Sprengel', 'I. F. Tausch', 'K. Vandas', 'F. de P. A. Waldstein', 'C. F. W. Wallroth', 'G. A. Zenker', 'C. L. P. Zeyher']	Updated Apr 2016 (geocoordinates corrected). As our general herbarium colection is largely unmounted and therefore not ready to be studied, we would like to ask you to kindly announce your visit at least two weeks prior to your arrival. If you wish to examine  material of  larger genera, it would be better to give us one month to prepare the material. Otherwise we will not be able to grant you access to this part of the herbarium collection. Thank you for your understanding	2023-08-07
125991	South West Heritage Trust	TTN				41000	Active		Vascular plants, mosses, lichens, seaweeds		{'physicalStreet': '', 'physicalCity': 'Taunton', 'physicalState': 'England', 'physicalZipCode': '', 'physicalCountry': 'U.K.', 'postalStreet': 'Somerset Heritage Centre,\nBrunel Way', 'postalCity': 'Taunton, Somerset', 'postalState': 'England', 'postalZipCode': 'TA2 6SF, TA1 6SF', 'postalCountry': 'U.K.'}	{'phone': '[44] 01823 278805 ext. reception\n[44] 01823 347442 ext. curator', 'email': 'Dennis.parsons@swheritage.org.uk', 'webUrl': ''}	{'lat': 51.650002, 'lon': -1.78333}	{'numAlgae': 0, 'numAlgaeDatabased': 0, 'numAlgaeImaged': 0, 'numBryos': 20000, 'numBryosDatabased': 0, 'numBryosImaged': 0, 'numFungi': 0, 'numFungiDatabased': 0, 'numFungiImaged': 0, 'numPteridos': 0, 'numPteridosDatabased': 0, 'numPteridosImaged': 0, 'numSeedPl': 21000, 'numSeedPlDatabased': 0, 'numSeedPlImaged': 0}	['YEO. Vascular plants']	['W.W. Watson', 'T. Clark', 'I. Gifford', 'M.A.G. Livett', 'Revd C.S.P. Parish', 'H.F. Parsons', 'A. Southby (Gapper)', 'H. Downes']	"Updated Apr 2017 (general update).<br/>TTN is part of Somerset Archaeological & Natural History Society."	2018-01-12
124204	CENAREST	LBV				65000	Active	1982		Gabon.	{'physicalStreet': '', 'physicalCity': 'Libreville', 'physicalState': '', 'physicalZipCode': '', 'physicalCountry': 'Gabon', 'postalStreet': 'B.P. 1156', 'postalCity': 'Libreville', 'postalState': '', 'postalZipCode': '', 'postalCountry': 'Gabon'}	{'phone': '[241] 61 38 56', 'email': '', 'webUrl': ''}	{'lat': 0.418004, 'lon': 9.490379}	{'numAlgae': 0, 'numAlgaeDatabased': 0, 'numAlgaeImaged': 0, 'numBryos': 0, 'numBryosDatabased': 0, 'numBryosImaged': 0, 'numFungi': 0, 'numFungiDatabased': 0, 'numFungiImaged': 0, 'numPteridos': 0, 'numPteridosDatabased': 0, 'numPteridosImaged': 0, 'numSeedPl': 0, 'numSeedPlDatabased': 0, 'numSeedPlImaged': 0}	[]	[]	Updated Apr 2017 (specimen total, correspondent information updated).	2018-01-12
124098	Botanical Survey of India, Western Circle	BSI		Ministry of Environment and Forests		176600	Active	1955		India, especially states of Maharashtra, Karnataka, southern tip of Gujarat, Goa and Union Territories of Daman, Diu, Dadra, and Nagar-Haveli.	{'physicalStreet': '', 'physicalCity': 'Pune', 'physicalState': 'Maharashtra', 'physicalZipCode': '', 'physicalCountry': 'India', 'postalStreet': '7 Koregaon Road', 'postalCity': 'Pune', 'postalState': 'Maharashtra', 'postalZipCode': '411 001', 'postalCountry': 'India'}	{'phone': '[91] 20 612 4139\n[91] 20 612 2125', 'email': '', 'webUrl': ''}	{'lat': 18.528481, 'lon': 73.88533}	{'numAlgae': 0, 'numAlgaeDatabased': 0, 'numAlgaeImaged': 0, 'numBryos': 0, 'numBryosDatabased': 0, 'numBryosImaged': 0, 'numFungi': 0, 'numFungiDatabased': 0, 'numFungiImaged': 0, 'numPteridos': 0, 'numPteridosDatabased': 0, 'numPteridosImaged': 0, 'numSeedPl': 0, 'numSeedPlDatabased': 0, 'numSeedPlImaged': 0}	['Economic Botany Herbarium of Agriculture College, Pune.']	['R. K. Bhide', 'T. Cooke', 'W. A. Talbot', 'I. Thaker', 'G. M. Woodrow']	Updated April 2017 (Spelling fixed) Permission for loans required from Director, Botanical Survey of India, P-8 Brabourne Road, Kolkata 700 001.	2018-01-12
