irn	125346
organization	Museo Nacional de Historia Natural
code	MVM
division	
department	Departamento de Botánica
cites	
specimenTotal	90000
currentStatus	Active
dateFounded	1837
taxonomicCoverage	
geography	Uruguay and parts of Argentina, Brazil, and Paraguay.
address	{'physicalStreet': 'Buenos Aires 652.', 'physicalCity': 'Montevideo', 'physicalState': '', 'physicalZipCode': '', 'physicalCountry': 'Uruguay', 'postalStreet': 'Casilla de Correo 399', 'postalCity': 'Montevideo', 'postalState': '', 'postalZipCode': '11 000', 'postalCountry': 'Uruguay'}
contact	{'phone': '[598] 2 916 09 08', 'email': 'meicavaldivia@gmail.com', 'webUrl': 'https://www.mnhn.gub.uy/innovaportal/v/3417/12/mecweb/botanica?contid=3090'}
location	{'lat': -34.863792, 'lon': -56.117401}
collectionsSummary	{'numAlgae': 0, 'numAlgaeDatabased': 0, 'numAlgaeImaged': 0, 'numBryos': 0, 'numBryosDatabased': 0, 'numBryosImaged': 0, 'numFungi': 0, 'numFungiDatabased': 0, 'numFungiImaged': 0, 'numPteridos': 0, 'numPteridosDatabased': 0, 'numPteridosImaged': 0, 'numSeedPl': 0, 'numSeedPlDatabased': 0, 'numSeedPlImaged': 0}
incorporatedHerbaria	[]
importantCollectors	['E. Gibert', 'C. Osten', 'A. Lombardo', 'B. Rosengurtt', 'D. Legrand', 'J. Arechavaleta']
notes	Updated Mar 2014 (staff update). Exchange and loans temporarily suspended.
dateModified	2022-11-23
irn	123883
organization	Azerbaijan National Academy of Sciences (ANAS)
code	BAK
division	Institute of Botany
department	
cites	
specimenTotal	600000
currentStatus	Active
dateFounded	1827
taxonomicCoverage	
geography	Azerbaijan; Caucasus; Iran; Turkey; Palestine; Iraq; western Europe; northern Africa; North America; South America.
address	{'physicalStreet': '', 'physicalCity': 'Baku', 'physicalState': '', 'physicalZipCode': '', 'physicalCountry': 'Azerbaijan', 'postalStreet': 'Badamdar highway 40', 'postalCity': 'Baku', 'postalState': '', 'postalZipCode': 'AZ1004', 'postalCountry': 'Azerbaijan'}
contact	{'phone': '[994] 12 4970994', 'email': 'p.garakhani@mail.ru', 'webUrl': ''}
location	{'lat': 40.37767, 'lon': 49.89201}
collectionsSummary	{'numAlgae': 0, 'numAlgaeDatabased': 0, 'numAlgaeImaged': 0, 'numBryos': 0, 'numBryosDatabased': 0, 'numBryosImaged': 0, 'numFungi': 0, 'numFungiDatabased': 0, 'numFungiImaged': 0, 'numPteridos': 0, 'numPteridosDatabased': 0, 'numPteridosImaged': 0, 'numSeedPl': 0, 'numSeedPlDatabased': 0, 'numSeedPlImaged': 0}
incorporatedHerbaria	[]
importantCollectors	[]
notes	Upated April 2017 (Institution name, specimen total, contact information updated).
dateModified	2018-01-12
irn	124879
organization	Instituto Agronômico
code	BHMG
division	
department	
cites	
specimenTotal	0
currentStatus	Inactive
dateFounded	
taxonomicCoverage	
geography	
address	{'physicalStreet': '', 'physicalCity': 'Belo Horizonte', 'physicalState': 'Minas Gerais', 'physicalZipCode': '', 'physicalCountry': 'Brazil', 'postalStreet': '', 'postalCity': 'Belo Horizonte', 'postalState': 'Minas Gerais', 'postalZipCode': '', 'postalCountry': 'Brazil'}
contact	{'phone': '', 'email': '', 'webUrl': ''}
location	{'lat': -19.899624, 'lon': -43.960503}
collectionsSummary	{'numAlgae': 0, 'numAlgaeDatabased': 0, 'numAlgaeImaged': 0, 'numBryos': 0, 'numBryosDatabased': 0, 'numBryosImaged': 0, 'numFungi': 0, 'numFungiDatabased': 0, 'numFungiImaged': 0, 'numPteridos': 0, 'numPteridosDatabased': 0, 'numPteridosImaged': 0, 'numSeedPl': 0, 'numSeedPlDatabased': 0, 'numSeedPlImaged': 0}
incorporatedHerbaria	[]
importantCollectors	[]
notes	Updated Apr 2005. BHMG transferred to BHMH, which has been transferred to BHCB. Contact Alexandre Salino, salino@icb.ufmg.br
dateModified	2018-01-12
irn	124983
organization	Jardim-Museu Agrícola Tropical
code	LISJC
division	Instituto de Investigação Científica Tropical
department	
cites	
specimenTotal	0
currentStatus	Inactive
dateFounded	
taxonomicCoverage	
geography	
address	{'physicalStreet': '', 'physicalCity': 'Lisboa', 'physicalState': '', 'physicalZipCode': '', 'physicalCountry': 'Portugal', 'postalStreet': 'Largo dos Jerónimos-Belém', 'postalCity': 'Lisboa', 'postalState': '', 'postalZipCode': 'P-1400-209', 'postalCountry': 'Portugal'}
contact	{'phone': '', 'email': '', 'webUrl': ''}
location	{'lat': 38.706039, 'lon': -9.206116}
collectionsSummary	{'numAlgae': 0, 'numAlgaeDatabased': 0, 'numAlgaeImaged': 0, 'numBryos': 0, 'numBryosDatabased': 0, 'numBryosImaged': 0, 'numFungi': 0, 'numFungiDatabased': 0, 'numFungiImaged': 0, 'numPteridos': 0, 'numPteridosDatabased': 0, 'numPteridosImaged': 0, 'numSeedPl': 0, 'numSeedPlDatabased': 0, 'numSeedPlImaged': 0}
incorporatedHerbaria	[]
importantCollectors	[]
notes	Updated Apr 2005. LISJC (57 000 specimens) transferred to LISC in 2002. Contact Maria Adélia Diniz, cbotn@iict.pt<br/>LISJC is part of State Ministry of Science and Technology.
dateModified	2018-01-12
irn	124561
organization	Forest Service Region 4, USDA Forest Service Service
code	OGDF
division	Vegetation Management
department	
cites	
specimenTotal	0
currentStatus	Inactive
dateFounded	
taxonomicCoverage	
geography	
address	{'physicalStreet': '', 'physicalCity': 'Ogden', 'physicalState': 'Utah', 'physicalZipCode': '', 'physicalCountry': 'U.S.A.', 'postalStreet': '324 25th Street', 'postalCity': 'Ogden', 'postalState': 'Utah', 'postalZipCode': '84401-2310', 'postalCountry': 'U.S.A.'}
contact	{'phone': '', 'email': '', 'webUrl': ''}
location	{'lat': 41.220432, 'lon': -111.967378}
collectionsSummary	{'numAlgae': 0, 'numAlgaeDatabased': 0, 'numAlgaeImaged': 0, 'numBryos': 0, 'numBryosDatabased': 0, 'numBryosImaged': 0, 'numFungi': 0, 'numFungiDatabased': 0, 'numFungiImaged': 0, 'numPteridos': 0, 'numPteridosDatabased': 0, 'numPteridosImaged': 0, 'numSeedPl': 0, 'numSeedPlDatabased': 0, 'numSeedPlImaged': 0}
incorporatedHerbaria	[]
importantCollectors	[]
notes	Updated Apr 2007. OGDF (30 500 specimens) transferred to BRY in 2007. Continue to cite OGDF.
dateModified	2018-01-12
irn	126034
organization	Springfield Science Museum
code	SPR
division	
department	Natural Science Department
cites	
specimenTotal	19000
currentStatus	Active
dateFounded	1918
taxonomicCoverage	
geography	Massachusetts, mostly Springfield area; Connecticut
address	{'physicalStreet': '', 'physicalCity': 'Springfield', 'physicalState': 'Massachusetts', 'physicalZipCode': '', 'physicalCountry': 'U.S.A.', 'postalStreet': '21 Edwards Street', 'postalCity': 'Springfield', 'postalState': 'Massachusetts', 'postalZipCode': '01103', 'postalCountry': 'U.S.A.'}
contact	{'phone': '[1] 413 263 6800 ext. 321', 'email': 'dstier@springfieldmuseums.org', 'webUrl': ''}
location	{'lat': 42.104362, 'lon': -72.587173}
collectionsSummary	{'numAlgae': 0, 'numAlgaeDatabased': 0, 'numAlgaeImaged': 0, 'numBryos': 0, 'numBryosDatabased': 0, 'numBryosImaged': 0, 'numFungi': 0, 'numFungiDatabased': 0, 'numFungiImaged': 0, 'numPteridos': 0, 'numPteridosDatabased': 0, 'numPteridosImaged': 0, 'numSeedPl': 0, 'numSeedPlDatabased': 0, 'numSeedPlImaged': 0}
incorporatedHerbaria	[]
importantCollectors	['L. Andrews']
notes	Updated Apr 2008.  Private institution, with city funding.
dateModified	2018-01-12
irn	125457
organization	National Museum in Prague
code	PR
division	
department	Department of Botany
cites	
specimenTotal	2000000
currentStatus	Active
dateFounded	1818
taxonomicCoverage	Phanerogams and bryophytes
geography	Worldwide with emphasis on Czech Republic, Slovakia, central Europe, Balkan Peninsula, Australia, Iraq, and Iran
address	{'physicalStreet': '', 'physicalCity': 'Praha', 'physicalState': '', 'physicalZipCode': '', 'physicalCountry': 'Czech Republic', 'postalStreet': 'Cirkusova 1740', 'postalCity': 'Praha 9 - Horni Pocernice', 'postalState': '', 'postalZipCode': 'CZ-190 00', 'postalCountry': 'Czech Republic'}
contact	{'phone': '[420] 224497834', 'email': '', 'webUrl': ''}
location	{'lat': 50.122294, 'lon': 14.629279}
collectionsSummary	{'numAlgae': 0, 'numAlgaeDatabased': 0, 'numAlgaeImaged': 0, 'numBryos': 0, 'numBryosDatabased': 0, 'numBryosImaged': 0, 'numFungi': 0, 'numFungiDatabased': 0, 'numFungiImaged': 0, 'numPteridos': 0, 'numPteridosDatabased': 0, 'numPteridosImaged': 0, 'numSeedPl': 0, 'numSeedPlDatabased': 0, 'numSeedPlImaged': 0}
incorporatedHerbaria	['PRB (5000 specimens)']
importantCollectors	['L. Celakovský', 'H. Cuming', 'K. Domin', 'J. F. Drège', 'C. F. Ecklon', 'T. P. X. Haenke', 'J. M. Hildebrandt', 'P. Kitaibel', 'C. G. T. Kotschy', 'J. G. C. Lehmann', 'J. Lhotsky', 'P. M. Opiz', 'F. Petrak', 'Z. Pilous', 'J. Podpera', 'J. E. Pohl', 'K. B. Presl', 'J. S. Presl', 'J. S. Pringle', 'V. Schiffner', 'F. R. R. Schlechter', 'F. W. Sieber', 'P. E. E. Sintenis', 'K. P. J. Sprengel', 'I. F. Tausch', 'K. Vandas', 'F. de P. A. Waldstein', 'C. F. W. Wallroth', 'G. A. Zenker', 'C. L. P. Zeyher']
notes	Updated Apr 2016 (geocoordinates corrected). As our general herbarium colection is largely unmounted and therefore not ready to be studied, we would like to ask you to kindly announce your visit at least two weeks prior to your arrival. If you wish to examine  material of  larger genera, it would be better to give us one month to prepare the material. Otherwise we will not be able to grant you access to this part of the herbarium collection. Thank you for your understanding
dateModified	2023-08-07
irn	125991
organization	South West Heritage Trust
code	TTN
division	
department	
cites	
specimenTotal	41000
currentStatus	Active
dateFounded	
taxonomicCoverage	Vascular plants, mosses, lichens, seaweeds
geography	
address	{'physicalStreet': '', 'physicalCity': 'Taunton', 'physicalState': 'England', 'physicalZipCode': '', 'physicalCountry': 'U.K.', 'postalStreet': 'Somerset Heritage Centre,\nBrunel Way', 'postalCity': 'Taunton, Somerset', 'postalState': 'England', 'postalZipCode': 'TA2 6SF, TA1 6SF', 'postalCountry': 'U.K.'}
contact	{'phone': '[44] 01823 278805 ext. reception\n[44] 01823 347442 ext. curator', 'email': 'Dennis.parsons@swheritage.org.uk', 'webUrl': ''}
location	{'lat': 51.650002, 'lon': -1.78333}
collectionsSummary	{'numAlgae': 0, 'numAlgaeDatabased': 0, 'numAlgaeImaged': 0, 'numBryos': 20000, 'numBryosDatabased': 0, 'numBryosImaged': 0, 'numFungi': 0, 'numFungiDatabased': 0, 'numFungiImaged': 0, 'numPteridos': 0, 'numPteridosDatabased': 0, 'numPteridosImaged': 0, 'numSeedPl': 21000, 'numSeedPlDatabased': 0, 'numSeedPlImaged': 0}
incorporatedHerbaria	['YEO. Vascular plants']
importantCollectors	['W.W. Watson', 'T. Clark', 'I. Gifford', 'M.A.G. Livett', 'Revd C.S.P. Parish', 'H.F. Parsons', 'A. Southby (Gapper)', 'H. Downes']
notes	Updated Apr 2017 (general update).<br/>TTN is part of Somerset Archaeological & Natural History Society.
dateModified	2018-01-12
irn	124204
organization	CENAREST
code	LBV
division	
department	
cites	
specimenTotal	65000
currentStatus	Active
dateFounded	1982
taxonomicCoverage	
geography	Gabon.
address	{'physicalStreet': '', 'physicalCity': 'Libreville', 'physicalState': '', 'physicalZipCode': '', 'physicalCountry': 'Gabon', 'postalStreet': 'B.P. 1156', 'postalCity': 'Libreville', 'postalState': '', 'postalZipCode': '', 'postalCountry': 'Gabon'}
contact	{'phone': '[241] 61 38 56', 'email': '', 'webUrl': ''}
location	{'lat': 0.418004, 'lon': 9.490379}
collectionsSummary	{'numAlgae': 0, 'numAlgaeDatabased': 0, 'numAlgaeImaged': 0, 'numBryos': 0, 'numBryosDatabased': 0, 'numBryosImaged': 0, 'numFungi': 0, 'numFungiDatabased': 0, 'numFungiImaged': 0, 'numPteridos': 0, 'numPteridosDatabased': 0, 'numPteridosImaged': 0, 'numSeedPl': 0, 'numSeedPlDatabased': 0, 'numSeedPlImaged': 0}
incorporatedHerbaria	[]
importantCollectors	[]
