after_split_name	page_title_short	page_title_long	page_title_longer_max-80	name	name_ed	surname	tl2_abbreviation_ed	is_supplement	conflicting_abbrev	tl2_abbreviation_alt	dates	description
TL_2_Suppl_1_0000.md	Aario	Aario, Leo Eino	Aario, Leo Eino [std. Aario]	Aario, Leo Eino	Aario, Leo Eino	Aario	Aario				1906-x	Finnish botanist; originally Leo Eino Engman. 
TL_2_Suppl_1_0001.md	Aarons.	Aaronsohn, Aaron	Aaronsohn, Aaron [std. Aarons.]	Aaronsohn, Aaron	Aaronsohn, Aaron	Aaronsohn	Aarons.				1876/1877-1919	American agriculturist, later resident in Haifa as technical advisor of the United States Department of Agriculture. 
TL_2_Suppl_1_0002.md	Aasen	Aasen, Ivar Andreas	Aasen, Ivar Andreas [std. Aasen]	Aasen, Ivar Andreas	Aasen, Ivar Andreas	Aasen	Aasen				1813-1896	Norwegian botanist. 
TL_2_Suppl_1_0003.md	Abbado	Abbado, Michele	Abbado, Michele [std. Abbado]	Abbado, Michele	Abbado, Michele	Abbado	Abbado				fl. 1900-1915	Italian phytopathologist, Dr. sci. nat., assistant at the R. Scuola superiore d'Agricoltura, and professor of natural history at the Lyceum Beccacia, Milano. 
TL_2_Suppl_1_0004.md	Abbayes (Suppl.)	Abbayes, Henri [Robert] Nicollon des (Suppl.)	Abbayes, Henri [Robert] Nicollon des [std. Abbayes] (Suppl.)	*Abbayes, Henri [Robert] Nicollon des	Abbayes, Henri [Robert] Nicollon des	Abbayes	Abbayes	(Suppl.)			1898-1974	French lichenologist; studied at the Richelieu College, Luçon (Vendée), baccalaureat 1915; studied natural sciences at the Faculté catholique, Angers, on active service 1917-1920, wine-salesman 1924-1931, settled in Saint Brieuc 1926, actively collecting in Western France, moved to Rennes, Lic. Sci. nat. Univ. Rennes 1930, 1931 zoological assistant ib., from 1933 assistant in botany, Dr. Sci. 1934, laureat Institut de France 1940, lecturer in botany at Rennes 1943, full professor 1952, in charge of botany in the School of Medicine and Pharmacy 1938-1958, retired 1968; collected in French-Guinea and Ivory Coast 1948, 1951, 1954; id. Réunion, Mauritius 1956. 
TL_2_Suppl_1_0005.md	Abbe	Abbe, Ernst Cleveland	Abbe, Ernst Cleveland [std. Abbe]	Abbe, Ernst Cleveland	Abbe, Ernst Cleveland	Abbe	Abbe				1905-x	American botanist, B.S. Cornell Univ. 1928, M.S. ib. 1930, M.A. Harvard 1931; Dr. phil. Cornell (1933?) 1934; botanical assistant at Cornell 1927-1930, at Harvard Univ. 1931-1933, Natl. Res. council fellow in biology 1934-1935, from 1935 at Bot. Dept., University of Minnesota, 1959-1962 National Science Foundation fellow studying Fagaceae and Myricaceae in S.E. Asia. Collected in northern Labrador 1931, in N. Alberta and N.E. Brit. Columbia 1932, eastern Keewatin and Western Quebec 1939, [in New Guinea 1962, Sarawak 1964]. 
TL_2_Suppl_1_0006.md	C. Abbot (Suppl.)	Abbot, Charles (Suppl.)	Abbot, Charles [std. C. Abbot] (Suppl.)	*Abbot, Charles	Abbot, Charles	Abbot	C. Abbot	(Suppl.)			1761-1817	British clergyman, botanist and lepidopterist, MA Oxford 1788, DD. ib. 1802, Vicar of Oakley Raynes 1798 and Goldington, Beds. 1803. 
TL_2_Suppl_1_0007.md	F. Abbott	Abbott, Francis, Jr.	Abbott, Francis, Jr. [std. F. Abbott]	Abbott, Francis, Jr.	Abbott, Francis, Jr.	Abbott	F. Abbott				1834-1903	English born botanist and gardener, from ca. 1851 connected with the Botanical Gardens at Hobart, Tasmania (Australia), from 1859-1903 superintendent of the Gardens succeeding F.W. Newman. 
TL_2_Suppl_1_0008.md	C. Abel (Suppl.)	Abel, Clarke (Suppl.)	Abel, Clarke [std. C. Abel] (Suppl.)	*Abel, Clarke	Abel, Clarke	Abel	C. Abel	(Suppl.)			1789-1826	British surgeon and botanist, chief medical officer to Lord Amherst's mission in China 1816-1817, shipwrecked on his return in H.M.S. Alceste; with Lord Amherst in India 1823-1826. 
TL_2_Suppl_1_0009.md	L. Abel	Abel, Lothar	Abel, Lothar [std. L. Abel]	Abel, Lothar	Abel, Lothar	Abel	L. Abel				fl. 1882	Austrian dendrologist. 
TL_2_Suppl_1_0010.md	O. Abel	Abel, Othenio	Abel, Othenio [std. O. Abel]	Abel, Othenio	Abel, Othenio	Abel	O. Abel				1875-1946	Austrian botanist, professor of palaeontology at the University of Vienna, visited the United States and Cuba in 1925, sometime editor of Palaeobiologica. 
TL_2_Suppl_1_0011.md	Abele	Abele, Karlis	Abele, Karlis [std. Abele]	Abele, Karlis	Abele, Karlis	Abele	Abele				1896-?	Latvian botanist at the botanical institute of the University of Riga. 
TL_2_Suppl_1_0012.md	Abeleven (Suppl.)	Abeleven, Theodorus Hendrik Arnoldus Jacobus (Suppl.)	Abeleven, Theodorus Hendrik Arnoldus Jacobus [std. Abeleven] (Suppl.)	*Abeleven, Theodorus Hendrik Arnoldus Jacobus	Abeleven, Theodorus Hendrik Arnoldus Jacobus	Abeleven	Abeleven	(Suppl.)			1822-1904	Dutch botanist, pharmacist and highschool teacher at a highschool in Nijmegen, Netherlands 1865-1899, also botany teacher at the Nijmegen Gymnasium; secretary of the Nederlandsche Botanische Vereeniging 1867-1897. 
TL_2_Suppl_1_0013.md	Abendroth	Abendroth, Wilhelm Friedrich	Abendroth, Wilhelm Friedrich [std. Abendroth]	Abendroth, Wilhelm Friedrich	Abendroth, Wilhelm Friedrich	Abendroth	Abendroth				1802-1863	German clinical physician, born at Pirna nr. Dresden (Sachsen), educated at a secondary school at Meissen; studied medicine at the University of Leipzig 1820-1825 with a stay in Vienna 1824-1825 specializing in clinical medicine, Dr. phil. Leipzig 1825. 
TL_2_Suppl_1_0014.md	Abercr.	Abercrombie, John	Abercrombie, John [std. Abercr.]	Abercrombie, John	Abercrombie, John	Abercrombie	Abercr.				1726-1806	English nurseryman, gardener at Kew ca. 1751, marketgardener at Hackney, nr. London 1770, nurseryman at Tottenham ca. 1775, gardener to the Duke of Leeds 1778. 
TL_2_Suppl_1_0015.md	Åberg	Åberg, [Johan] Gerhard [Göran]	Åberg, [Johan] Gerhard [Göran] [std. Åberg]	Åberg, [Johan] Gerhard [Göran]	Åberg, [Johan] Gerhard [Göran]	Åberg	Åberg				1868-1940	Swedish bryologist studied at the cathedral school at Lund 1887, med. lic. Lund 1900; provincial physician Sunne, Bergs distr. Jämtland 1914, Linnémedal Sv. Vet. Akad. 1934. 
TL_2_Suppl_1_0016.md	Aberle	Aberle, Carl	Aberle, Carl [std. Aberle]	Aberle, Carl	Aberle, Carl	Aberle	Aberle				x-1892	Austrian botanist, professor at the medical faculty of Salzburg, director of the botanical garden ib. 1863-1880, k.k. Regierungsrath; ultimately in Wien. 
TL_2_Suppl_1_0017.md	Abraham	Abraham, Max	Abraham, Max [std. Abraham]	Abraham, Max	Abraham, Max	Abraham	Abraham				1860-?	German botanist, studied at Königsberg with Caspary, Ph.D. ib. 1885. 
TL_2_Suppl_1_0018.md	Abrams (Suppl.)	Abrams, LeRoy (Suppl.)	Abrams, LeRoy [std. Abrams] (Suppl.)	*Abrams, LeRoy	Abrams, LeRoy	Abrams	Abrams	(Suppl.)			1874-1956	American (Sheffield, Iowa) botanist, at the University of South California 1895, at Stanford University 1896, A.B. Stanford Jun 1899; acting professor of botany at the University of Idaho 1899-1900, graduate student and assistant with W.R. Russel at Stanford 1900-1902, MA. 1902, instructor in botany ib. 1902-1904; graduate fellow in botany Columbia University working at the New York Botanical Garden 1904-1905 with N.L. Britton, J.K. Small and P.A. Rydberg; assistant curator at the National Museum, Washington, D.C. 1905-1906; assistant professor of botany at Stanford 1906-1912, associate professor 1912, full professor 1920, head of the Department of Botany ib. 1933-1934, director of the Natural History Museum ib. 1934-1940, emeritus professor of biology ib. 1940-1956, continuing his work on the Illustrated flora of the Pacific States. 
TL_2_Suppl_1_0019.md	Abrom. (Suppl.)	Abromeit, Johannes (Suppl.)	Abromeit, Johannes [std. Abrom.] (Suppl.)	*Abromeit, Johannes	Abromeit, Johannes	Abromeit	Abrom.	(Suppl.)			1857-1946	"German botanist at Königsberg i. Pr., born in Paschleitschen nr. Ragnit, East Prussia, studied at the Real-Gymnasium in Gumbinnen 1871-1876 and at a similar institution in Königsberg i. Pr. 1877-1879; studied natural sciences at the Albertus-Universität ib. 1879-1884 (natural sciences, philosophy, German literature); Dr. phil. ib. 1884 with Robert Caspary; state-examination for teacher of secondary schools 1886, assistant in botany at the Königsberg botanical institute from 1887, ""Habilitation"" 19 Mar 1900, private lecturer at the University 1900, extraordinary professor of botany (titular) 1911, pensioned off 1930; prime mover of the Preussische Botanische Verein, fled to Jena 1944. "
TL_2_Suppl_1_0020.md	Acerbi	Acerbi, Giuseppe	Acerbi, Giuseppe [std. Acerbi]	Acerbi, Giuseppe	Acerbi, Giuseppe	Acerbi	Acerbi				1773-1846	Italian traveller, naturalist and botanist at Castelgoffredo, visited Lapland 1798-1799, librarian and director of the Orto botanico di Brera, Milano 1817-1826; Austrian consul-general in Egypt 1826-1836, collecting in Sudan 1826-1835; founded the Bibliotheca italiana. 
TL_2_Suppl_1_0021.md	Achar. (Suppl.)	Acharius, Erik (Suppl.)	Acharius, Erik [std. Achar.] (Suppl.)	*Acharius, Erik	Acharius, Erik	Acharius	Achar.	(Suppl.)			1757-1819	Swedish lichenologist, born at Gävle, studied in Uppsala 1773-1776, Dr. phil. with Linnaeus 1776; Dr. med. Lund 1782, ultimately provincial medical officer and, from 1795, chief physician at the Vadstena hospital; member Swedish Academy of Sciences 1796; honorary professor's title 1803, Vasa order 1809. 
TL_2_Suppl_1_0022.md	Achepohl (Suppl.)	Achepohl, Ludwig (Suppl.)	Achepohl, Ludwig [std. Achepohl] (Suppl.)	*Achepohl, Ludwig	Achepohl, Ludwig	Achepohl	Achepohl	(Suppl.)			x-1902	"German palaeontologist, ""Obereinfahrer"" at Essen; worker on the carboniferous flora. "
TL_2_Suppl_1_0023.md	Achner	Achner, Adolph	Achner, Adolph [std. Achner]	Achner, Adolph	Achner, Adolph	Achner	Achner				fl. 1904	Rumanian pharmacist, Dr. pharm. Zürich 1904. 
TL_2_Suppl_1_0024.md	Ackermann	Ackermann, Jacob Fidelis	Ackermann, Jacob Fidelis [std. Ackermann]	Ackermann, Jacob Fidelis	Ackermann, Jacob Fidelis	Ackermann	Ackermann				1765-1815	German physician, Dr. phil. Mainz 1787, travelled in Germany and Italy 1787-1789, habil. Mainz 1789 as Privatdozent (private lecturer) in forensic medicine, subsequently full professor; president and professor at the Medical School, Mainz 1798, id. anatomy and surgery at Jena 1804, id. Heidelberg 1805-1815; taught botany at Heidelberg in 1812 as part of his medical curriculum. 
TL_2_Suppl_1_0025.md	Acloque (Suppl.)	Acloque, Alexandre Noel Charles (Suppl.)	Acloque, Alexandre Noel Charles [std. Acloque] (Suppl.)	Acloque, Alexandre Noel Charles	Acloque, Alexandre Noel Charles	Acloque	Acloque	(Suppl.)			1871-1908	French botanist and ornithologist. 
TL_2_Suppl_1_0026.md	Acosta Solis	Acosta Solis, Misael	Acosta Solis, Misael [std. Acosta Solis]	Acosta Solis, Misael	Acosta Solis, Misael	Acosta Solis	Acosta Solis				1910-x	Ecuadorian botanist, director of the Instituto botanico, Quito ca. 1938, professor of botany and pharmacognosy ib. 
TL_2_Suppl_1_0027.md	J. Adam	Adam, Jean	Adam, Jean [std. J. Adam]	Adam, Jean	Adam, Jean	Adam	J. Adam				<em>fl</em>. 1910	"French agronomical engineer, ""chef de service de l'agriculture du Sénégal"". "
