code_in_XMLs	resolved_code_and_link	note	organization	location	status
A	[[Collection A|A]]	Automatically matched with IH	Harvard University	Cambridge, Massachusetts, U.S.A.	Active
AA	[[Collection AA|AA]]	Automatically matched with IH	Ministry of Science, Academy of Sciences	Alma-Ata, Kazakhstan	Active
AAH	[[Collection AAH|AAH]]	Automatically matched with IH	Arnold Arboretum, Harvard University	Jamaica Plain, Massachusetts, U.S.A.	Inactive
AAR	[[Collection AAR|AAR]]	Automatically matched with IH	Reliquae Aaronsohnianae	Zichron-Yaakov, Israel	Inactive
AAU	[[Collection AAU|AAU]]	Automatically matched with IH	Aarhus University	Aarhus, Denmark	Active
ABD	[[Collection ABD|ABD]]	Automatically matched with IH	University of Aberdeen	Aberdeen, Scotland, United Kingdom	Active
ABFM	[[Collection ABFM|ABFM]]	GRSciColl has a record. Only a 404 [link to IH](http://sweetgum.nybg.org/science/ih/herbarium-details/?irn=126143). Made a page manually	Barnes Arboretum at St. Joseph's University	Merion, Pennsylvania, U.S.A.	Active?
AHFM	[[Collection ABFM|ABFM]]	Typo or alternative spelling. Should be ABFM			
ABI	[[Collection ABI|ABI]]	Automatically matched with IH	Centre ORSTOM d'Adiopodoume	Abidjan, Ivory Coast	Inactive
ABS	[[Collection ABS|ABS]]	Automatically matched with IH	Aberystwyth University	Aberystwyth, Wales, U.K.	Active
ABSH	[[Collection ABSH|ABSH]]	Automatically matched with IH	Southern Illinois University	Carbondale, Illinois, U.S.A.	Inactive
ABSL	[[Collection ABSL|ABSL]]	Automatically matched with IH	University of Minnesota	St. Paul, Minnesota, U.S.A.	Inactive
AC	[[Collection AC|AC]]	Automatically matched with IH	Amherst College	Amherst, Massachusetts, U.S.A.	Inactive
ACA	[[Collection ACA|ACA]]	Automatically matched with IH	Agricultural University of Athens	Athens, Greece	Active
ACAD	[[Collection ACAD|ACAD]]	Automatically matched with IH	Acadia University	Wolfville, Nova Scotia, Canada	Active
AKAD	[[Collection ACAD|ACAD]]	Typo or alternative spelling. Should be ACAD			
AD	[[Collection AD|AD]]	Automatically matched with IH	State Herbarium of South Australia	Adelaide, South Australia, Australia	Active
ADMONT	[[Collection ADMONT|ADMONT]]	Automatically matched with IH	Benediktinerstift Admont	Admont, Austria	Active
ADU	[[Collection ADU|ADU]]	Automatically matched with IH	University of Adelaide	Adelaide, South Australia, Australia	Inactive
ADW	[[Collection ADW|ADW]]	Automatically matched with IH	University of Adelaide	Adelaide, South Australia, Australia	Inactive
AFS	[[Collection AFS|AFS]]	Automatically matched with IH	American Fern Society Herbarium	, U.S.A.	Inactive
AHFH	[[Collection AHFH|AHFH]]	Automatically matched with IH	University of Southern California	Los Angeles, California, U.S.A.	Inactive
AHW	[[Collection AHW|AHW]]	Can be resolved. see Fryxell, G.A., Diatom. coll. Beih. Nova Hedwigia 53: 361. 1975			
AK	[[Collection AK|AK]]	Automatically matched with IH	Auckland War Memorial Museum	Auckland, New Zealand	Active
AKU	[[Collection AKU|AKU]]	Automatically matched with IH	University of Auckland	Auckland, New Zealand	Inactive
AL	[[Collection AL|AL]]	Automatically matched with IH	Université d'Alger	Algiers, Algeria	Active
ALA	[[Collection ALA|ALA]]	Automatically matched with IH	University of Alaska Museum of the North	Fairbanks, Alaska, U.S.A.	Active
ALMA	[[Collection ALMA|ALMA]]	Automatically matched with IH	Alma College	Alma, Michigan, U.S.A.	Active
ALTA	[[Collection ALTA|ALTA]]	Automatically matched with IH	University of Alberta	Edmonton, Alberta, Canada	Active
ALU	[[Collection ALU|ALU]]	Automatically matched with IH	Alabama Museum of Natural History	Tuscaloosa, Alabama, U.S.A.	Inactive
AMD	[[Collection AMD|AMD]]	Automatically matched with IH	Naturalis Biodiversity Center	Leiden, The Netherlands	Permanently closed
AMES	[[Collection AMES|AMES]]	Automatically matched with IH	Harvard University	Cambridge, Massachusetts, U.S.A.	Active
AMNH	[[Collection AMNH|AMNH]]	Automatically matched with IH	Icelandic Institute of Natural History, Akureyri Division	Akureyri, Iceland	Active
AMS	[[Collection AMS|AMS]]	Surely in Amsterdam. AMD? Suggestion added in text			
